frase,emocion
portada viernes fabra banquillo orden retratar empresa espiar ,N
grande periodista querer contar realidad no vivir via ,NEU
presentacion librar españolar divertido emocionante brillante ,P
mañana pagar culpar becario falso informacion cerrar ,N
envidiar mañana mañana ir estar almendra parisino recordar ,NEU
mas mañana depender crear grupo propio no cumplir req no querer competencia ,N
muy bueno noche followercetes mañana dia bastante mitico ya contar ,P
mas mañana contar casi seguro grupo gracia decir ,P
felicidad no grande anhelo pequeño coser ocurrir dia buenas noche mañana mas ;-) ,P
ya ver ya ver responder reclamar moratorio deuda mañana ,N
definitivamente creer resfriar tiempo loco hacer mesar ahora tocar consecuencia ,NEU
prometer responder imposible hoy no dar mas gracias ,P
gracia comentario programar hoy :-)) ,P
no ser asociacion acabar haciendote ,P
gracias ,P
algun alcalde adelantar mismo pagar agostar ,NEU
medir palabra caracter ,NEU
trabajar po ,P
recibisteislos ondas recontabamos voto ,P
tipo personar no comprender coser poner escribir ,NEU
mañana seis duermo poco ,NEU
confirmada firmar dia cine ,NEU
ya viernes invitar gran disfruteis bueno informacion ,P
importante accionar ciudad inteligente bien presente ,P
nominado 2012 chevere gracias gente ,P
buenos dia llegar bordar abismar antes resolver problema metodo dar pasar mas ,NEU
dado deuda privar superior publicar recortar gastar privar tener superior gastar publicar protestar ,N
lloviendo mar ver ,NEU
crecer adversidad ,NEU
hoy reunir viceprimero ministro britanico ,NEU
no dar marchar atras coger carrerilla adelante valiente comer dia dentellar ,P
lado instante ,NEU
muy bueno invernal dia viernes ,P
pactar postura comun reflotar sarkozy ya adelantar ayer objetivar refundar ,NEU
rosell noche adivina ,NEU
avispar reconocer caro matar bien seguir pican concienciar ,NEU
buenos dia ;-) ,P
tela manta aguar caer ahora ,NEU
gracias volver ,P
liar esperar antena endiascomohoy ,N
buenos dia esperar empresario reformar laboral respuesta hoy losdesayunosdetve entrevistar ,NEU
tepco inyectar nitrogeno reactor fukushima-1 evitar mas explosionar ,N
epilogo hoy via ,NEU
programascambiados caro valer ,NEU
programascambiados sonar ,NEU
programascambiados caer ,NEU
portada ,NEU
programascambiados anda ,NEU
programascambiados vuelveme deluxe ,NEU
programascambiados salvame pasar ,P
programascambiados pasar ,NEU
octubre noviembre sufrir fugar capital cercar millon euro ,N
refundar perder gustar momento epico ir ,N
programascambiados cambiar supernanny ,NEU
programascambiados atrapar acorralar ,NEU
programascambiados collejeros ,NEU
programascambiados mas alla birra ,NEU
programascambiados saber beber ,NEU
programascambiados muchachada ,NEU
programascambiados mujer desoperadas ,NEU
programascambiados atufar ,NEU
celebrar hoy mañana xvi edicion tradicional ,P
